destination,id,stops,unique_ids,fallback,exact_matches
Antalya,trip_3c61fb58-e5bc-479a-ab7e-1575c124bcc4,8,8,0,8
Antalya,trip_beb91005-5867-462b-9690-a82c5093c2f3,8,8,0,8
Bologna,trip_214d2815-946a-4e2a-91a3-951ef8281b07,8,8,0,8
Bologna,trip_8c9ce9f4-589e-46ca-9c79-af85d5f1bf2d,8,8,0,8
Brugge,trip_23e15349-872f-4aef-ba71-bfd22728cccc,8,8,0,8
Brugge,trip_3907009f-b778-45c5-a9ce-2a8e9473d219,8,8,0,8
Copenhagen,trip_36dfd036-c769-4e54-9731-ffe67eec51ea,8,8,0,8
Copenhagen,trip_798c94bf-d014-411d-8eb6-e045186f97ac,8,8,0,8
Las Vegas,trip_062cf7c0-1042-4b77-a979-3471980db645,8,8,0,8
Las Vegas,trip_3b9b5a16-b7d2-426a-8f57-62eb545904c8,8,8,0,8
Las Vegas,trip_48a3d8d3-a56a-4947-9bf1-18a2d81eb43a,8,8,0,8
Las Vegas,trip_eaa55968-0202-4b4c-a9e8-d56d45d7ac7a,8,8,0,8
Sarajevo,trip_6d4684c2-c502-47cb-98a7-47048f63a340,8,8,0,8
Sarajevo,trip_c66867a0-4880-4238-9355-efe7fa041b57,8,8,0,8
Tallinn,trip_3ac4969b-a1d9-446b-90dc-a5792ae5a779,8,8,0,8
Tallinn,trip_b11a7dc5-e374-4c31-afb1-3ee35d1460e7,8,8,0,8
Tallinn,trip_bb8d3492-2c4e-4b8e-9e22-33e135caf736,8,8,0,8
Tallinn,trip_e8ba12be-e7b4-4d03-bff8-4d3efd76c70c,8,8,0,8
