id,name,city,provider,provider_place_id,provider_fetched_at,latitude,longitude
osm_node_1260188226,Starbucks,Antalya,osm,node/1260188226,2026-09-03 22:51:16.584051+00,36.8828888,30.7088115
osm_node_1280250536,Alp Paşa Hotel,Antalya,osm,node/1280250536,2026-09-03 22:51:16.588874+00,36.8838868,30.706781
osm_node_1304981008,Evren Bufe,Antalya,osm,node/1304981008,2026-09-03 22:51:16.591408+00,36.8799177,30.709779
osm_node_1304981012,Faroz Balik Restoran,Antalya,osm,node/1304981012,2026-09-03 22:51:16.594911+00,36.8759141,30.7118765
osm_node_1304981014,Urcan Fish House,Antalya,osm,node/1304981014,2026-09-03 22:51:16.601174+00,36.8745152,30.7134027
osm_node_1304981020,Lara Fish,Antalya,osm,node/1304981020,2026-09-03 22:51:16.605827+00,36.8738049,30.7149986
osm_node_1305561917,Evren Bufe,Antalya,osm,node/1305561917,2026-09-03 22:51:16.608806+00,36.8733017,30.7170667
osm_node_1374226597,Sunset Viewpoint,Antalya,osm,node/1374226597,2026-09-03 22:51:16.618534+00,36.8828441,30.7031544
osm_node_1710777024,The Hand,Antalya,osm,node/1710777024,2026-09-03 22:51:16.622325+00,36.8781428,30.7057131
osm_node_1710777027,"işçi ve çocuğu ""Kara Ali'nin Oğlu""",Antalya,osm,node/1710777027,2026-09-03 22:51:16.627038+00,36.8791271,30.7046972
osm_node_1710777037,Nâzım Hikmet,Antalya,osm,node/1710777037,2026-09-03 22:51:16.629361+00,36.8806521,30.7038963
osm_node_1711817368,Patio Hotel & Restaurant,Antalya,osm,node/1711817368,2026-09-03 22:51:16.632355+00,36.8824385,30.7046751
osm_node_1711817372,Castle Cafe Restaurant,Antalya,osm,node/1711817372,2026-09-03 22:51:16.636218+00,36.8817284,30.7036364
osm_node_1711817560,36 Konukzade Restaurant Pansiyon,Antalya,osm,node/1711817560,2026-09-03 22:51:16.638592+00,36.8828926,30.7043858
osm_node_1764470681,Vanilla,Antalya,osm,node/1764470681,2026-09-03 22:51:16.640494+00,36.8834542,30.7066352
osm_node_1764470692,Leman Kültür,Antalya,osm,node/1764470692,2026-09-03 22:51:16.641941+00,36.8838694,30.709016
osm_node_1764470697,Yemenli Restaurant,Antalya,osm,node/1764470697,2026-09-03 22:51:16.643711+00,36.8816735,30.7046271
osm_node_2300063918,II. Attalos,Antalya,osm,node/2300063918,2026-09-03 22:51:16.645117+00,36.8873169,30.7055649
osm_node_530098780,Hasanağa Restaurant,Antalya,osm,node/530098780,2026-09-03 22:51:16.530024+00,36.8858021,30.7068205
osm_node_925554838,Atatürk Heykeli,Antalya,osm,node/925554838,2026-09-03 22:51:16.555509+00,36.8866751,30.7032631
osm_node_283047377,Trattoria da Vito,Bologna,osm,node/283047377,2026-09-03 22:51:04.923747+00,44.4949291,11.3623479
osm_node_343032177,Bagni di Mario,Bologna,osm,node/343032177,2026-09-03 22:51:04.934902+00,44.4814361,11.3358579
osm_node_410752844,Circolo Mazzini,Bologna,osm,node/410752844,2026-09-03 22:51:04.937786+00,44.4842282,11.373548
osm_node_440951321,Trattoria Gigina,Bologna,osm,node/440951321,2026-09-03 22:51:04.939832+00,44.5321155,11.3540386
osm_node_474385035,Bar Crystal,Bologna,osm,node/474385035,2026-09-03 22:51:04.942237+00,44.4987293,11.3322114
osm_node_474391903,Casa Monica,Bologna,osm,node/474391903,2026-09-03 22:51:04.944586+00,44.4962104,11.3302546
osm_node_474391905,Pizzeria Totò,Bologna,osm,node/474391905,2026-09-03 22:51:04.946714+00,44.4963626,11.3300816
osm_node_474410375,Bar Mello,Bologna,osm,node/474410375,2026-09-03 22:51:04.94907+00,44.4987705,11.3331611
osm_node_483374338,Black Fire,Bologna,osm,node/483374338,2026-09-03 22:51:04.950959+00,44.5087496,11.3487396
osm_node_483374350,Ristorante El Greco,Bologna,osm,node/483374350,2026-09-03 22:51:04.952645+00,44.5129272,11.3436949
osm_node_500964194,Ristorante Pizzeria Da Pino,Bologna,osm,node/500964194,2026-09-03 22:51:04.954479+00,44.497061,11.3435629
osm_node_500964196,Franco Rossi,Bologna,osm,node/500964196,2026-09-03 22:51:04.956641+00,44.4968802,11.3437567
osm_node_506738735,Scalinatetella,Bologna,osm,node/506738735,2026-09-03 22:51:04.958669+00,44.4950937,11.3443021
osm_node_506738736,Fontana vecchia,Bologna,osm,node/506738736,2026-09-03 22:51:04.960577+00,44.4949291,11.3419229
osm_node_527892537,SottoSopra,Bologna,osm,node/527892537,2026-09-03 22:51:04.962227+00,44.4894127,11.3431398
osm_node_535370612,Bar Zhenjie,Bologna,osm,node/535370612,2026-09-03 22:51:04.96531+00,44.513691,11.3435211
osm_node_535370615,Ristorante Senafe,Bologna,osm,node/535370615,2026-09-03 22:51:04.967157+00,44.51308,11.3433546
osm_node_562905875,Oriente,Bologna,osm,node/562905875,2026-09-03 22:51:04.968924+00,44.5155409,11.3541069
osm_node_564719143,Giovanna,Bologna,osm,node/564719143,2026-09-03 22:51:04.970714+00,44.4801426,11.3688343
osm_node_564719145,Dagnini,Bologna,osm,node/564719145,2026-09-03 22:51:04.972442+00,44.4800271,11.3697666
osm_node_289174579,Simon Stevin,Brugge,osm,node/289174579,2026-09-03 22:51:10.207014+00,51.2066005,3.2227327
osm_node_469970659,Breydel de Coninc,Brugge,osm,node/469970659,2026-09-03 22:51:10.211907+00,51.2085218,3.2261108
osm_node_469970675,Tom Pouce,Brugge,osm,node/469970675,2026-09-03 22:51:10.216077+00,51.208426,3.2262657
osm_node_469983038,Poul & Poulette Brugge,Brugge,osm,node/469983038,2026-09-03 22:51:10.219699+00,51.2065834,3.2231409
osm_node_469983041,Bavet,Brugge,osm,node/469983041,2026-09-03 22:51:10.222074+00,51.20647,3.2232736
osm_node_469983046,Le Pain Quotidien,Brugge,osm,node/469983046,2026-09-03 22:51:10.224379+00,51.2063695,3.2225969
osm_node_469983057,De Sneeuwberg,Brugge,osm,node/469983057,2026-09-03 22:51:10.226294+00,51.2080765,3.2243504
osm_node_470512865,Assiette Blanche,Brugge,osm,node/470512865,2026-09-03 22:51:10.228079+00,51.2096424,3.2263353
osm_node_761502676,Bistro Du Phare,Brugge,osm,node/761502676,2026-09-03 22:51:10.22945+00,51.2213756,3.2327945
osm_node_793769591,Bourgoensch Hof,Brugge,osm,node/793769591,2026-09-03 22:51:10.23137+00,51.2075992,3.2267703
osm_node_793769597,Duc De Bourgogne,Brugge,osm,node/793769597,2026-09-03 22:51:10.23293+00,51.2076634,3.2272827
osm_node_793769601,Mama luca,Brugge,osm,node/793769601,2026-09-03 22:51:10.234349+00,51.2096446,3.2289348
osm_node_793769602,Relais Ravenstein,Brugge,osm,node/793769602,2026-09-03 22:51:10.235562+00,51.2103022,3.2318049
osm_node_793769604,Rozenbrouw,Brugge,osm,node/793769604,2026-09-03 22:51:10.236793+00,51.2122526,3.2227905
osm_node_793769605,'t Terrastje,Brugge,osm,node/793769605,2026-09-03 22:51:10.237967+00,51.2132108,3.2284279
osm_node_793769606,De Steenput,Brugge,osm,node/793769606,2026-09-03 22:51:10.239223+00,51.2109303,3.2209727
osm_node_793769607,Calis,Brugge,osm,node/793769607,2026-09-03 22:51:10.240447+00,51.2092879,3.2287083
osm_node_793769618,Hollandse Vismijn,Brugge,osm,node/793769618,2026-09-03 22:51:10.241779+00,51.2079469,3.2287292
osm_node_793769619,Forestiėre,Brugge,osm,node/793769619,2026-09-03 22:51:10.243056+00,51.2115391,3.2263115
osm_node_115167440,Ingolfs Kaffebar,Copenhagen,osm,node/115167440,2026-09-03 20:23:03.73804+00,55.6501334,12.6119742
osm_node_137534794,Rio Bravo,Copenhagen,osm,node/137534794,2026-09-03 20:23:03.741072+00,55.6742501,12.5730625
osm_node_24958713,Ølbaren,Copenhagen,osm,node/24958713,2026-09-03 20:23:03.688298+00,55.6892753,12.5578754
osm_node_24971137,Juma,Copenhagen,osm,node/24971137,2026-09-03 20:23:03.714397+00,55.690348,12.5640201
osm_node_25074274,Den lille Havfrue,Copenhagen,osm,node/25074274,2026-09-03 20:23:03.719856+00,55.6928661,12.5992896
osm_node_25440922,Bankeråt,Copenhagen,osm,node/25440922,2026-09-03 20:23:03.727836+00,55.6834082,12.5651843
osm_node_25869217,Black Swan,Copenhagen,osm,node/25869217,2026-09-03 20:23:03.731247+00,55.6864894,12.5874331
osm_node_25904721,Café Viking,Copenhagen,osm,node/25904721,2026-09-03 20:23:03.735194+00,55.6996104,12.5467101
osm_node_269264421,Sticks'n'Sushi,Copenhagen,osm,node/269264421,2026-09-03 20:23:03.742963+00,55.6697106,12.5547131
osm_node_277364372,Café Moccador,Copenhagen,osm,node/277364372,2026-09-03 20:23:03.744757+00,55.6817592,12.5343154
osm_node_277694702,Cafe Intime,Copenhagen,osm,node/277694702,2026-09-03 20:23:03.74643+00,55.6770916,12.532119
osm_node_277703258,Alléenberg,Copenhagen,osm,node/277703258,2026-09-03 20:23:03.747964+00,55.6752681,12.5328906
osm_node_278380921,Cafe Svejk,Copenhagen,osm,node/278380921,2026-09-03 20:23:03.749492+00,55.6789275,12.5274752
osm_node_278389273,Promenaden,Copenhagen,osm,node/278389273,2026-09-03 20:23:03.75146+00,55.6742295,12.5399431
osm_node_279143638,Viet Nam Nam,Copenhagen,osm,node/279143638,2026-09-03 20:23:03.754155+00,55.6856353,12.5376527
osm_node_279143817,Bartof Café,Copenhagen,osm,node/279143817,2026-09-03 20:23:03.756066+00,55.6836628,12.5245604
osm_node_279143826,Café Viggo,Copenhagen,osm,node/279143826,2026-09-03 20:23:03.758726+00,55.6740704,12.5496175
osm_node_279144098,London Pub,Copenhagen,osm,node/279144098,2026-09-03 20:23:03.760485+00,55.6855209,12.5382279
osm_node_279183613,Cafe Bopa,Copenhagen,osm,node/279183613,2026-09-03 20:23:03.762004+00,55.7052359,12.581411
osm_node_279183730,Kafe Kapers,Copenhagen,osm,node/279183730,2026-09-03 20:23:03.763537+00,55.7050842,12.5768017
osm_node_1563585298,Sinatra,Las Vegas,osm,node/1563585298,2026-09-03 22:50:53.936633+00,36.1299181,-115.1654118
osm_node_1941728360,G gallery,Las Vegas,osm,node/1941728360,2026-09-03 22:50:53.938383+00,36.1537554,-115.1515641
osm_node_1941739670,Salon De Belleza,Las Vegas,osm,node/1941739670,2026-09-03 22:50:53.94145+00,36.1526396,-115.1541438
osm_node_1941747523,Viva Las Vegas Skate Company,Las Vegas,osm,node/1941747523,2026-09-03 22:50:53.942851+00,36.1532114,-115.154122
osm_node_1941751932,Amancer,Las Vegas,osm,node/1941751932,2026-09-03 22:50:53.944335+00,36.1523451,-115.1546374
osm_node_1941756558,Main Street Furniture,Las Vegas,osm,node/1941756558,2026-09-03 22:50:53.946442+00,36.1533673,-115.154294
osm_node_1941763853,Classic Vdubs,Las Vegas,osm,node/1941763853,2026-09-03 22:50:53.951327+00,36.154944,-115.1540151
osm_node_1941765088,Swm n Pool,Las Vegas,osm,node/1941765088,2026-09-03 22:50:53.953517+00,36.1551345,-115.1540151
osm_node_357553144,Highland Valley Park,Las Vegas,osm,node/357553144,2026-09-03 22:50:53.895794+00,36.204136,-115.1597246
osm_node_357554205,Las Vegas Race Track,Las Vegas,osm,node/357554205,2026-09-03 22:50:53.907995+00,36.1349713,-115.1474996
osm_node_357567699,Bracken Playground,Las Vegas,osm,node/357567699,2026-09-03 22:50:53.910819+00,36.1837,-115.1124
osm_node_357567723,Carson Playground,Las Vegas,osm,node/357567723,2026-09-03 22:50:53.913228+00,36.193,-115.146
osm_node_357567838,Fitzgeralds Tot Lot,Las Vegas,osm,node/357567838,2026-09-03 22:50:53.917963+00,36.1854,-115.1516
osm_node_357567878,Hadland Pool,Las Vegas,osm,node/357567878,2026-09-03 22:50:53.926065+00,36.1652,-115.1104
osm_node_357567903,Hewetson Playground,Las Vegas,osm,node/357567903,2026-09-03 22:50:53.928573+00,36.1765,-115.1224
osm_node_357567984,Madison Playground,Las Vegas,osm,node/357567984,2026-09-03 22:50:53.930488+00,36.1827,-115.1551
osm_node_357568005,Miller Playground,Las Vegas,osm,node/357568005,2026-09-03 22:50:53.933677+00,36.1487,-115.1128
osm_node_1096655301,Đulbašča,Sarajevo,osm,node/1096655301,2026-09-03 20:02:24.267232+00,43.87313,18.4461455
osm_node_1112466076,City Pub,Sarajevo,osm,node/1112466076,2026-09-03 20:02:24.268564+00,43.8581227,18.4272641
osm_node_1180308982,Vidikovac,Sarajevo,osm,node/1180308982,2026-09-03 20:02:24.269922+00,43.8665883,18.4420625
osm_node_1305811322,Kafanica,Sarajevo,osm,node/1305811322,2026-09-03 20:02:24.271316+00,43.8689867,18.4059183
